carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,4740835,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4740661,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4740325,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4736619,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3710856,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3703111,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Olist Envios,olist-envios-correios,Olist Envios - Outros,,Outros,2025-08-07 16:10:53
OCASA,4004332400010,OCASA - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3751019,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3746022,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3745994,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3745025,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3674668,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3664373,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3663509,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3728038,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropify Express,JADLOG_PACKAGE,Dropify Express - Outros,,Outros,2025-08-07 16:10:53
Dropify Express,CORREIOS_SEDEX_AR,Dropify Express - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3692382,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3677556,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3604165,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3601029,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3597455,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3597446,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3718706,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3715940,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4747934,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4747762,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
